               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,             0.04414,            0.010099,           0.0041949,             0.47803,              0.5079,             0.39985,             0.20852,            0.064756,           0.0068145,            0.017163,           0.0076735,           0.0076735,           0.0076735
                  49,            0.040918,            0.010028,           0.0042853,             0.38658,             0.45985,             0.34231,             0.19934,            0.065827,           0.0068861,            0.016872,            0.007624,            0.007624,            0.007624
                  50,            0.042657,            0.011747,           0.0049661,             0.37025,             0.53258,             0.41674,             0.23339,            0.063838,           0.0070968,            0.016357,           0.0075745,           0.0075745,           0.0075745
                  51,            0.040213,            0.010553,           0.0040678,             0.41221,             0.53258,             0.41651,             0.21059,            0.062582,           0.0069222,             0.01589,            0.007525,            0.007525,            0.007525
                  52,            0.037695,           0.0086862,           0.0033693,             0.41677,             0.53258,             0.41604,              0.1712,             0.06494,           0.0066667,            0.015715,           0.0074755,           0.0074755,           0.0074755
                  53,            0.040124,           0.0098122,           0.0033849,             0.39908,             0.44534,             0.36577,             0.19644,            0.065675,           0.0066361,            0.015395,            0.007426,            0.007426,            0.007426
                  54,            0.039548,            0.009107,           0.0036294,             0.42134,             0.53258,             0.39169,             0.20112,            0.067413,           0.0063084,            0.015661,           0.0073765,           0.0073765,           0.0073765
                  55,            0.040343,            0.010146,           0.0032857,             0.44233,             0.52698,             0.42271,             0.21446,            0.066668,           0.0063538,            0.015382,            0.007327,            0.007327,            0.007327
                  56,             0.04145,           0.0082935,           0.0030704,             0.47631,             0.52586,             0.41628,             0.24834,             0.06505,            0.006348,            0.015666,           0.0072775,           0.0072775,           0.0072775
                  57,            0.037911,            0.009802,            0.003517,              0.4959,             0.51041,             0.44478,             0.25593,            0.063139,           0.0063773,            0.016029,            0.007228,            0.007228,            0.007228
                  58,            0.038152,            0.010398,           0.0038781,             0.51431,             0.52201,             0.43475,             0.24619,            0.063558,           0.0063191,            0.014742,           0.0071785,           0.0071785,           0.0071785
                  59,            0.038165,           0.0095022,           0.0035681,             0.52315,             0.52533,             0.45142,             0.25755,            0.064934,           0.0062109,            0.014052,            0.007129,            0.007129,            0.007129
                  60,            0.039208,           0.0089611,           0.0035228,             0.52874,             0.52872,              0.4395,             0.26596,            0.067313,           0.0060965,            0.013983,           0.0070795,           0.0070795,           0.0070795
                  61,            0.037896,           0.0088113,           0.0038332,             0.48725,             0.50985,              0.4361,             0.27709,            0.063827,           0.0059587,            0.013282,             0.00703,             0.00703,             0.00703
                  62,            0.035521,           0.0099138,           0.0037602,             0.40993,             0.50985,             0.43857,             0.23434,             0.06766,           0.0058979,            0.012816,           0.0069805,           0.0069805,           0.0069805
                  63,            0.036948,           0.0092701,           0.0037814,             0.55859,             0.48407,             0.43127,             0.24557,            0.064874,           0.0058041,            0.012591,            0.006931,            0.006931,            0.006931
                  64,            0.036739,           0.0086459,           0.0034146,             0.52693,             0.50805,              0.4452,             0.25258,            0.064923,           0.0060107,             0.01215,           0.0068815,           0.0068815,           0.0068815
                  65,            0.036386,           0.0091893,           0.0031154,             0.43221,             0.50487,             0.39224,              0.2159,            0.065545,           0.0063361,            0.013148,            0.006832,            0.006832,            0.006832
